# Ultimate compression benchmark

## Results for examples/database.sql:

Tool                                    CS     CT    DT  Result
zstd (fast) (v1.4.9) (level 18)     5021602     472   320  Ok
zstd (fast) (v1.4.9) (level 19)     5021170     475   338  Ok
zstd (fast) (v1.4.9) (level 50)     5126525     472   320  Ok
zstd (fast) (v1.4.9) (level 100)    5257036     470   322  Ok
zstd (fast) (v1.4.9) (level 1000)   7852619     470   322  Ok

## Results for examples/history.json:

Tool                                    CS     CT    DT  Result
---------------------------------  -------  -----  ----  --------
cat (v8.32) (level 0)              9728479     24    37  Ok
brotli (v1.0.9) (level 0)          2432617    172   170  Ok
brotli (v1.0.9) (level 1)          2251811    172   173  Ok
brotli (v1.0.9) (level 2)          2075816    371   171  Ok
brotli (v1.0.9) (level 3)          2039999    422   171  Ok
brotli (v1.0.9) (level 4)          1959701    872   124  Ok
brotli (v1.0.9) (level 5)          1844241   1378   122  Ok
brotli (v1.0.9) (level 6)          1785348   1677   120  Ok
brotli (v1.0.9) (level 7)          1727258   2329   119  Ok
brotli (v1.0.9) (level 8)          1699687   3279   120  Ok
brotli (v1.0.9) (level 9)          1679735   4533   123  Ok
brotli (v1.0.9) (level 10)         1528110  32322   122  Ok
brotli (v1.0.9) (level 11)         1505730  74752   121  Ok
brotli (long) (v1.0.9) (level 0)   2432617    169   172  Ok
brotli (long) (v1.0.9) (level 1)   2251811    168   171  Ok
brotli (long) (v1.0.9) (level 2)   2075816    371   172  Ok
brotli (long) (v1.0.9) (level 3)   2039999    420   170  Ok
brotli (long) (v1.0.9) (level 4)   1959701    821   120  Ok
brotli (long) (v1.0.9) (level 5)   1844241   1380   121  Ok
brotli (long) (v1.0.9) (level 6)   1785348   1724   120  Ok
brotli (long) (v1.0.9) (level 7)   1727258   2477   120  Ok
brotli (long) (v1.0.9) (level 8)   1699687   3431   121  Ok
brotli (long) (v1.0.9) (level 9)   1679735   4787   119  Ok
brotli (long) (v1.0.9) (level 10)  1528110  31769   122  Ok
brotli (long) (v1.0.9) (level 11)  1505730  74249   119  Ok
bzip2 (v1.0.8) (level 1)           1908902   3030   972  Ok
bzip2 (v1.0.8) (level 2)           1748647   3279  1073  Ok
bzip2 (v1.0.8) (level 3)           1670327   3480  1124  Ok
bzip2 (v1.0.8) (level 4)           1622101   3631  1124  Ok
bzip2 (v1.0.8) (level 5)           1584369   3734  1175  Ok
bzip2 (v1.0.8) (level 6)           1558449   3883  1227  Ok
bzip2 (v1.0.8) (level 7)           1533585   3984  1225  Ok
bzip2 (v1.0.8) (level 8)           1519204   4184  1276  Ok
bzip2 (v1.0.8) (level 9)           1501510   4137  1273  Ok
gzip (v1.10) (level 1)             2571117    470   222  Ok
gzip (v1.10) (level 2)             2482125    522   221  Ok
gzip (v1.10) (level 3)             2417818    620   222  Ok
gzip (v1.10) (level 4)             2280404    722   219  Ok
gzip (v1.10) (level 5)             2216478    921   223  Ok
gzip (v1.10) (level 6)             2188051   1224   219  Ok
gzip (v1.10) (level 7)             2182159   1323   224  Ok
gzip (v1.10) (level 8)             2166281   1627   221  Ok
gzip (v1.10) (level 9)             2166154   1827   221  Ok
lizard (v1.0.0) (level 10)         3324400    170    73  Ok
lizard (v1.0.0) (level 11)         2956522    221    71  Ok
lizard (v1.0.0) (level 12)         2663409    371    71  Ok
lizard (v1.0.0) (level 13)         2589393    576    70  Ok
lizard (v1.0.0) (level 14)         2547551    620    72  Ok
lizard (v1.0.0) (level 15)         2524335    726    70  Ok
lizard (v1.0.0) (level 16)         2444636    922    71  Ok
lizard (v1.0.0) (level 17)         2422394   1474    69  Ok
lizard (v1.0.0) (level 18)         2410985   9598    72  Ok
lizard (v1.0.0) (level 19)         2408197  10956    71  Ok
lizard (v1.0.0) (level 20)         3059739    170    71  Ok
lizard (v1.0.0) (level 21)         2895499    272    69  Ok
lizard (v1.0.0) (level 22)         2768445    372    72  Ok
lizard (v1.0.0) (level 23)         2600758    824    69  Ok
lizard (v1.0.0) (level 24)         2506608   1232    70  Ok
lizard (v1.0.0) (level 25)         2375141   2077    70  Ok
lizard (v1.0.0) (level 26)         2391494   6339    70  Ok
lizard (v1.0.0) (level 27)         2318182   8094    72  Ok
lizard (v1.0.0) (level 28)         2214593  28759    71  Ok
lizard (v1.0.0) (level 29)         2214593  28511    71  Ok
lizard (v1.0.0) (level 30)         2727964    172    70  Ok
lizard (v1.0.0) (level 31)         2761338    220    69  Ok
lizard (v1.0.0) (level 32)         2561155    321    70  Ok
lizard (v1.0.0) (level 33)         2517113    370    69  Ok
lizard (v1.0.0) (level 34)         2451349    570    72  Ok
lizard (v1.0.0) (level 35)         2417853    675    69  Ok
lizard (v1.0.0) (level 36)         2396398    774    70  Ok
lizard (v1.0.0) (level 37)         2267409    975    69  Ok
lizard (v1.0.0) (level 38)         2245615   1424    71  Ok
lizard (v1.0.0) (level 39)         2177843  10903    69  Ok
lizard (v1.0.0) (level 40)         2455473    219    71  Ok
lizard (v1.0.0) (level 41)         2336698    269    71  Ok
lizard (v1.0.0) (level 42)         2268597    424    69  Ok
lizard (v1.0.0) (level 43)         2153737    872    71  Ok
lizard (v1.0.0) (level 44)         2089595   1326    69  Ok
lizard (v1.0.0) (level 45)         2047340   2126    71  Ok
lizard (v1.0.0) (level 46)         2050940   4234    70  Ok
lizard (v1.0.0) (level 47)         2053797   6691    70  Ok
lizard (v1.0.0) (level 48)         1994191   8345    72  Ok
lizard (v1.0.0) (level 49)         1895231  29615    69  Ok
lz4 (v1.9.3) (level 1)             3321243    121    71  Ok
lz4 (v1.9.3) (level 2)             3321243    120    69  Ok
lz4 (v1.9.3) (level 3)             2487857    471    70  Ok
lz4 (v1.9.3) (level 4)             2449428    573    70  Ok
lz4 (v1.9.3) (level 5)             2432109    670    71  Ok
lz4 (v1.9.3) (level 6)             2425029    774    69  Ok
lz4 (v1.9.3) (level 7)             2421948    874    71  Ok
lz4 (v1.9.3) (level 8)             2420230    973    69  Ok
lz4 (v1.9.3) (level 9)             2419418   1123    71  Ok
lz4 (v1.9.3) (level 10)            2425512   1375    70  Ok
lz4 (v1.9.3) (level 11)            2405999   2429    69  Ok
lz4 (v1.9.3) (level 12)            2405167   2683    72  Ok
lzf (vNone) (level 1)              3495602    170   122  Ok
lzf (vNone) (level 2)              3495602    172   120  Ok
lzf (vNone) (level 3)              3495602    171   122  Ok
lzf (vNone) (level 4)              3495602    172   119  Ok
lzf (vNone) (level 5)              3495602    171   121  Ok
lzf (vNone) (level 6)              3495602    176   119  Ok
lzf (vNone) (level 7)              3495602    169   122  Ok
lzf (vNone) (level 8)              3495602    171   122  Ok
lzf (vNone) (level 9)              3495602    221   123  Ok
lzf (vNone) (level 10)             3495602    174   119  Ok
lzf (vNone) (level 11)             3495602    169   122  Ok
lzf (vNone) (level 12)             3495602    172   120  Ok
lzma (v5.2.5) (level 1)            1860116   2125   422  Ok
lzma (v5.2.5) (level 2)            1774564   4034   423  Ok
lzma (v5.2.5) (level 3)            1735310   4985   370  Ok
lzma (v5.2.5) (level 4)            1645678   6940   370  Ok
lzma (v5.2.5) (level 5)            1589728   8893   370  Ok
lzma (v5.2.5) (level 6)            1571292  13162   373  Ok
lzma (v5.2.5) (level 7)            1571177  13161   370  Ok
lzma (v5.2.5) (level 8)            1571177  13563   422  Ok
lzma (v5.2.5) (level 9)            1571177  13461   374  Ok
lzop (v1.04) (level 1)             3541204    120   119  Ok
lzop (v1.04) (level 2)             3500081    119   120  Ok
lzop (v1.04) (level 3)             3500081    119   121  Ok
lzop (v1.04) (level 4)             3500081    122   122  Ok
lzop (v1.04) (level 5)             3500081    120   120  Ok
lzop (v1.04) (level 6)             3500081    120   122  Ok
lzop (v1.04) (level 7)             2533972   2178   119  Ok
lzop (v1.04) (level 8)             2492440   3479   119  Ok
lzop (v1.04) (level 9)             2492365   3831   119  Ok
lzturbo (v1.2) (level 10)          3042582    125    40  Ok
lzturbo (v1.2) (level 11)          2744566    270    72  Ok
lzturbo (v1.2) (level 12)          2585234    472    70  Ok
lzturbo (v1.2) (level 19)          2400670  21142    70  Ok
lzturbo (v1.2) (level 20)          2835751    122    70  Ok
lzturbo (v1.2) (level 21)          2480907    272   123  Ok
lzturbo (v1.2) (level 22)          2279181    574    71  Ok
lzturbo (v1.2) (level 29)          1928420  23243    70  Ok
lzturbo (v1.2) (level 30)          2279924    170    73  Ok
lzturbo (v1.2) (level 31)          2049361    323   120  Ok
lzturbo (v1.2) (level 32)          1780728    722   124  Ok
lzturbo (v1.2) (level 39)          1549909  26458   123  Ok
lzturbo (v1.2) (level 49)          1482625  33575   423  Ok
xz (v5.2.5) (level 1)              1860452   2226   471  Ok
xz (v5.2.5) (level 2)              1774876   3732   471  Ok
xz (v5.2.5) (level 3)              1735624   6189   421  Ok
xz (v5.2.5) (level 4)              1645976   7847   421  Ok
xz (v5.2.5) (level 5)              1590016  10904   420  Ok
xz (v5.2.5) (level 6)              1571580  12809   421  Ok
xz (v5.2.5) (level 7)              1571464  13161   427  Ok
xz (v5.2.5) (level 8)              1571464  13211   420  Ok
xz (v5.2.5) (level 9)              1571464  13463   421  Ok
zstd (v1.4.9) (level 1)            2226771    174    69  Ok
zstd (v1.4.9) (level 2)            2079479    219    69  Ok
zstd (v1.4.9) (level 3)            1983729    269   122  Ok
zstd (v1.4.9) (level 4)            1962264    323   119  Ok
zstd (v1.4.9) (level 5)            1920507    471    70  Ok
zstd (v1.4.9) (level 6)            1866447    673    70  Ok
zstd (v1.4.9) (level 7)            1799913    822    69  Ok
zstd (v1.4.9) (level 8)            1772420   1025    71  Ok
zstd (v1.4.9) (level 9)            1751125   1424    70  Ok
zstd (v1.4.9) (level 10)           1727532   1724    69  Ok
zstd (v1.4.9) (level 11)           1716742   1976    72  Ok
zstd (v1.4.9) (level 12)           1699486   3129    71  Ok
zstd (v1.4.9) (level 13)           1678630   3785    72  Ok
zstd (v1.4.9) (level 14)           1661247   4484   119  Ok
zstd (v1.4.9) (level 15)           1651398   5385    73  Ok
zstd (v1.4.9) (level 16)           1627540   8647    70  Ok
zstd (v1.4.9) (level 17)           1612760  10401    71  Ok
zstd (v1.4.9) (level 18)           1611737  14566   119  Ok
zstd (v1.4.9) (level 19)           1553065  28612   120  Ok
zstd (long) (v1.4.9) (level 1)     2215898    220    71  Ok
zstd (long) (v1.4.9) (level 2)     2076174    272    70  Ok
zstd (long) (v1.4.9) (level 3)     1986162    372   119  Ok
zstd (long) (v1.4.9) (level 4)     1967792    370   122  Ok
zstd (long) (v1.4.9) (level 5)     1942651    523   120  Ok
zstd (long) (v1.4.9) (level 6)     1881062    675    71  Ok
zstd (long) (v1.4.9) (level 7)     1815570    823   121  Ok
zstd (long) (v1.4.9) (level 8)     1786313   1022    72  Ok
zstd (long) (v1.4.9) (level 9)     1765164   1425    70  Ok
zstd (long) (v1.4.9) (level 10)    1741764   1724   121  Ok
zstd (long) (v1.4.9) (level 11)    1725663   2028   121  Ok
zstd (long) (v1.4.9) (level 12)    1708787   3078    72  Ok
zstd (long) (v1.4.9) (level 13)    1699279   3835    69  Ok
zstd (long) (v1.4.9) (level 14)    1676298   4233   120  Ok
zstd (long) (v1.4.9) (level 15)    1665253   5137   123  Ok
zstd (long) (v1.4.9) (level 16)    1626665   8598   121  Ok
zstd (long) (v1.4.9) (level 17)    1612534  10502   121  Ok
zstd (long) (v1.4.9) (level 18)    1611701  14665   122  Ok
zstd (long) (v1.4.9) (level 19)    1553000  28762    70  Ok
zstd (ultra) (v1.4.9) (level 1)    2215898    220    71  Ok
zstd (ultra) (v1.4.9) (level 2)    2076174    271    70  Ok
zstd (ultra) (v1.4.9) (level 3)    1986162    321   119  Ok
zstd (ultra) (v1.4.9) (level 4)    1967792    371    70  Ok
zstd (ultra) (v1.4.9) (level 5)    1942651    473    70  Ok
zstd (ultra) (v1.4.9) (level 6)    1881062    623   120  Ok
zstd (ultra) (v1.4.9) (level 7)    1815570    822    70  Ok
zstd (ultra) (v1.4.9) (level 8)    1786313   1024    69  Ok
zstd (ultra) (v1.4.9) (level 9)    1765164   1373    70  Ok
zstd (ultra) (v1.4.9) (level 10)   1741764   1674    69  Ok
zstd (ultra) (v1.4.9) (level 11)   1725663   2025    72  Ok
zstd (ultra) (v1.4.9) (level 12)   1708787   3129   121  Ok
zstd (ultra) (v1.4.9) (level 13)   1699279   3831    69  Ok
zstd (ultra) (v1.4.9) (level 14)   1676298   4283   123  Ok
zstd (ultra) (v1.4.9) (level 15)   1665253   5493   121  Ok
zstd (ultra) (v1.4.9) (level 16)   1626665   8497   119  Ok
zstd (ultra) (v1.4.9) (level 17)   1612534  10552    70  Ok
zstd (ultra) (v1.4.9) (level 18)   1611701  14816   121  Ok
zstd (ultra) (v1.4.9) (level 19)   1553000  30118   122  Ok
zstd (ultra) (v1.4.9) (level 20)   1552912  28710   121  Ok
zstd (ultra) (v1.4.9) (level 21)   1552951  29659   119  Ok
zstd (ultra) (v1.4.9) (level 22)   1552946  54043   122  Ok
zstd (fast) (v1.4.9) (level 1)     2915929    170    72  Ok
zstd (fast) (v1.4.9) (level 2)     3000969    173    69  Ok
zstd (fast) (v1.4.9) (level 3)     3108598    171    70  Ok
zstd (fast) (v1.4.9) (level 4)     3227379    120    71  Ok
zstd (fast) (v1.4.9) (level 5)     3352683    121    70  Ok
zstd (fast) (v1.4.9) (level 6)     3461242    120    72  Ok
zstd (fast) (v1.4.9) (level 7)     3546767    121    72  Ok
zstd (fast) (v1.4.9) (level 8)     3611709    121    70  Ok
zstd (fast) (v1.4.9) (level 9)     3671833    173    71  Ok
zstd (fast) (v1.4.9) (level 10)    3729874    120    73  Ok
zstd (fast) (v1.4.9) (level 11)    3795407    123    70  Ok
zstd (fast) (v1.4.9) (level 12)    3852184    122    71  Ok
zstd (fast) (v1.4.9) (level 13)    3907791    121    71  Ok
zstd (fast) (v1.4.9) (level 14)    3958570    226    78  Ok
zstd (fast) (v1.4.9) (level 15)    4003171    121    74  Ok
zstd (fast) (v1.4.9) (level 16)    4047178    120    70  Ok
zstd (fast) (v1.4.9) (level 17)    4085799    123    73  Ok
zstd (fast) (v1.4.9) (level 18)    4123451    123    72  Ok
zstd (fast) (v1.4.9) (level 19)    4159892    176    71  Ok
zstd (fast) (v1.4.9) (level 50)    4940770    125    71  Ok
zstd (fast) (v1.4.9) (level 100)   5759160    120    73  Ok
zstd (fast) (v1.4.9) (level 1000)  9423060     71    73  Ok

## Results for examples/empty.bin:

Tool                                 CS    CT    DT  Result
---------------------------------  ----  ----  ----  --------
cat (v8.32) (level 0)                 0    13    12  Ok
brotli (v1.0.9) (level 0)             1    13    10  Ok
brotli (v1.0.9) (level 1)             1    16    12  Ok
brotli (v1.0.9) (level 2)             1    14    19  Ok
brotli (v1.0.9) (level 3)             1    16    14  Ok
brotli (v1.0.9) (level 4)             1    12     9  Ok
brotli (v1.0.9) (level 5)             1    10     9  Ok
brotli (v1.0.9) (level 6)             1    15    13  Ok
brotli (v1.0.9) (level 7)             1    10    11  Ok
brotli (v1.0.9) (level 8)             1    10    12  Ok
brotli (v1.0.9) (level 9)             1     9    11  Ok
brotli (v1.0.9) (level 10)            1    13    10  Ok
brotli (v1.0.9) (level 11)            1    13    15  Ok
brotli (long) (v1.0.9) (level 0)      1     9     8  Ok
brotli (long) (v1.0.9) (level 1)      1    12     8  Ok
brotli (long) (v1.0.9) (level 2)      1     9    10  Ok
brotli (long) (v1.0.9) (level 3)      1    11     9  Ok
brotli (long) (v1.0.9) (level 4)      1     8    12  Ok
brotli (long) (v1.0.9) (level 5)      1    15     9  Ok
brotli (long) (v1.0.9) (level 6)      1    12    10  Ok
brotli (long) (v1.0.9) (level 7)      1    11    13  Ok
brotli (long) (v1.0.9) (level 8)      1     9    15  Ok
brotli (long) (v1.0.9) (level 9)      1    12     9  Ok
brotli (long) (v1.0.9) (level 10)     1    11    14  Ok
brotli (long) (v1.0.9) (level 11)     1    14    10  Ok
bzip2 (v1.0.8) (level 1)             14     9    10  Ok
bzip2 (v1.0.8) (level 2)             14     8    11  Ok
bzip2 (v1.0.8) (level 3)             14    11    11  Ok
bzip2 (v1.0.8) (level 4)             14     9    10  Ok
bzip2 (v1.0.8) (level 5)             14    11     9  Ok
bzip2 (v1.0.8) (level 6)             14    10    12  Ok
bzip2 (v1.0.8) (level 7)             14    12    10  Ok
bzip2 (v1.0.8) (level 8)             14     9    11  Ok
bzip2 (v1.0.8) (level 9)             14     8    10  Ok
gzip (v1.10) (level 1)               20     8    12  Ok
gzip (v1.10) (level 2)               20     9    11  Ok
gzip (v1.10) (level 3)               20    10    10  Ok
gzip (v1.10) (level 4)               20    10    11  Ok
gzip (v1.10) (level 5)               20    10    12  Ok
gzip (v1.10) (level 6)               20    11    10  Ok
gzip (v1.10) (level 7)               20    11    10  Ok
gzip (v1.10) (level 8)               20    11     9  Ok
gzip (v1.10) (level 9)               20    12    11  Ok
lizard (v1.0.0) (level 10)           15    13     9  Ok
lizard (v1.0.0) (level 11)           15     9    11  Ok
lizard (v1.0.0) (level 12)           15    11     9  Ok
lizard (v1.0.0) (level 13)           15    11     9  Ok
lizard (v1.0.0) (level 14)           15    10     9  Ok
lizard (v1.0.0) (level 15)           15    14    12  Ok
lizard (v1.0.0) (level 16)           15    11    14  Ok
lizard (v1.0.0) (level 17)           15     8    14  Ok
lizard (v1.0.0) (level 18)           15    13    11  Ok
lizard (v1.0.0) (level 19)           15    10    10  Ok
lizard (v1.0.0) (level 20)           15    11    11  Ok
lizard (v1.0.0) (level 21)           15    12    13  Ok
lizard (v1.0.0) (level 22)           15    11    11  Ok
lizard (v1.0.0) (level 23)           15     9    10  Ok
lizard (v1.0.0) (level 24)           15     9    11  Ok
lizard (v1.0.0) (level 25)           15     9     9  Ok
lizard (v1.0.0) (level 26)           15    11    12  Ok
lizard (v1.0.0) (level 27)           15    14    10  Ok
lizard (v1.0.0) (level 28)           15    10    12  Ok
lizard (v1.0.0) (level 29)           15     8    10  Ok
lizard (v1.0.0) (level 30)           15    10    10  Ok
lizard (v1.0.0) (level 31)           15    12    10  Ok
lizard (v1.0.0) (level 32)           15    11     9  Ok
lizard (v1.0.0) (level 33)           15    11    10  Ok
lizard (v1.0.0) (level 34)           15    12    11  Ok
lizard (v1.0.0) (level 35)           15    11    11  Ok
lizard (v1.0.0) (level 36)           15    11    11  Ok
lizard (v1.0.0) (level 37)           15    10     9  Ok
lizard (v1.0.0) (level 38)           15    14    10  Ok
lizard (v1.0.0) (level 39)           15     9    10  Ok
lizard (v1.0.0) (level 40)           15    11    10  Ok
lizard (v1.0.0) (level 41)           15    10     8  Ok
lizard (v1.0.0) (level 42)           15    12    13  Ok
lizard (v1.0.0) (level 43)           15    11    11  Ok
lizard (v1.0.0) (level 44)           15    10     9  Ok
lizard (v1.0.0) (level 45)           15     9    13  Ok
lizard (v1.0.0) (level 46)           15    10    11  Ok
lizard (v1.0.0) (level 47)           15    11    11  Ok
lizard (v1.0.0) (level 48)           15    10     8  Ok
lizard (v1.0.0) (level 49)           15    12    10  Ok
lz4 (v1.9.3) (level 1)               15     9    11  Ok
lz4 (v1.9.3) (level 2)               15     9    16  Ok
lz4 (v1.9.3) (level 3)               15    11     8  Ok
lz4 (v1.9.3) (level 4)               15    10     8  Ok
lz4 (v1.9.3) (level 5)               15    12    10  Ok
lz4 (v1.9.3) (level 6)               15    13     8  Ok
lz4 (v1.9.3) (level 7)               15    10    11  Ok
lz4 (v1.9.3) (level 8)               15    12     9  Ok
lz4 (v1.9.3) (level 9)               15    11    11  Ok
lz4 (v1.9.3) (level 10)              15    10    11  Ok
lz4 (v1.9.3) (level 11)              15     9     8  Ok
lz4 (v1.9.3) (level 12)              15     8     9  Ok
lzf (vNone) (level 1)                 0     8    10  Ok
lzf (vNone) (level 2)                 0     8    13  Ok
lzf (vNone) (level 3)                 0     8     9  Ok
lzf (vNone) (level 4)                 0     9    12  Ok
lzf (vNone) (level 5)                 0    13     9  Ok
lzf (vNone) (level 6)                 0     8     8  Ok
lzf (vNone) (level 7)                 0    12     8  Ok
lzf (vNone) (level 8)                 0     9     8  Ok
lzf (vNone) (level 9)                 0    13    11  Ok
lzf (vNone) (level 10)                0    13    12  Ok
lzf (vNone) (level 11)                0    10    11  Ok
lzf (vNone) (level 12)                0    13    10  Ok
lzma (v5.2.5) (level 1)              23    13    13  Ok
lzma (v5.2.5) (level 2)              23    14    13  Ok
lzma (v5.2.5) (level 3)              23    12    13  Ok
lzma (v5.2.5) (level 4)              23    15    13  Ok
lzma (v5.2.5) (level 5)              23    13    11  Ok
lzma (v5.2.5) (level 6)              23    12    10  Ok
lzma (v5.2.5) (level 7)              23    16    13  Ok
lzma (v5.2.5) (level 8)              23    13    10  Ok
lzma (v5.2.5) (level 9)              23    10    10  Ok
lzop (v1.04) (level 1)               42    11    11  Ok
lzop (v1.04) (level 2)               42    13    10  Ok
lzop (v1.04) (level 3)               42    10     7  Ok
lzop (v1.04) (level 4)               42     9    10  Ok
lzop (v1.04) (level 5)               42     9    13  Ok
lzop (v1.04) (level 6)               42    10    13  Ok
lzop (v1.04) (level 7)               42    15    13  Ok
lzop (v1.04) (level 8)               42    13    13  Ok
lzop (v1.04) (level 9)               42    11    10  Ok
lzturbo (v1.2) (level 10)            32    12    14  Ok
lzturbo (v1.2) (level 11)            32    11    12  Ok
lzturbo (v1.2) (level 12)            32    11    12  Ok
lzturbo (v1.2) (level 19)            32    11    11  Ok
lzturbo (v1.2) (level 20)            32    11    10  Ok
lzturbo (v1.2) (level 21)            32    13    14  Ok
lzturbo (v1.2) (level 22)            32    14    14  Ok
lzturbo (v1.2) (level 29)            32    11    10  Ok
lzturbo (v1.2) (level 30)            32    10    13  Ok
lzturbo (v1.2) (level 31)            32    10    10  Ok
lzturbo (v1.2) (level 32)            32    10    11  Ok
lzturbo (v1.2) (level 39)            32    11    11  Ok
lzturbo (v1.2) (level 49)            32    13    11  Ok
xz (v5.2.5) (level 1)                32    14    11  Ok
xz (v5.2.5) (level 2)                32    11    13  Ok
xz (v5.2.5) (level 3)                32    12    11  Ok
xz (v5.2.5) (level 4)                32    11    13  Ok
xz (v5.2.5) (level 5)                32    10    11  Ok
xz (v5.2.5) (level 6)                32    12    12  Ok
xz (v5.2.5) (level 7)                32    13    13  Ok
xz (v5.2.5) (level 8)                32    11    11  Ok
xz (v5.2.5) (level 9)                32    10    11  Ok
zstd (v1.4.9) (level 1)              13    12    14  Ok
zstd (v1.4.9) (level 2)              13    10    12  Ok
zstd (v1.4.9) (level 3)              13    11    17  Ok
zstd (v1.4.9) (level 4)              13    10    14  Ok
zstd (v1.4.9) (level 5)              13    12    13  Ok
zstd (v1.4.9) (level 6)              13    11    14  Ok
zstd (v1.4.9) (level 7)              13    13    13  Ok
zstd (v1.4.9) (level 8)              13    11    11  Ok
zstd (v1.4.9) (level 9)              13    13    12  Ok
zstd (v1.4.9) (level 10)             13    14    12  Ok
zstd (v1.4.9) (level 11)             13    13    13  Ok
zstd (v1.4.9) (level 12)             13    15    12  Ok
zstd (v1.4.9) (level 13)             13    14    17  Ok
zstd (v1.4.9) (level 14)             13    15    17  Ok
zstd (v1.4.9) (level 15)             13    11    10  Ok
zstd (v1.4.9) (level 16)             13    15    11  Ok
zstd (v1.4.9) (level 17)             13    12    12  Ok
zstd (v1.4.9) (level 18)             13    10    12  Ok
zstd (v1.4.9) (level 19)             13    10    11  Ok
zstd (long) (v1.4.9) (level 1)       13    13    10  Ok
zstd (long) (v1.4.9) (level 2)       13    12     9  Ok
zstd (long) (v1.4.9) (level 3)       13    12    11  Ok
zstd (long) (v1.4.9) (level 4)       13    12    10  Ok
zstd (long) (v1.4.9) (level 5)       13    10     9  Ok
zstd (long) (v1.4.9) (level 6)       13    10     9  Ok
zstd (long) (v1.4.9) (level 7)       13     9    10  Ok
zstd (long) (v1.4.9) (level 8)       13    10     9  Ok
zstd (long) (v1.4.9) (level 9)       13     9    11  Ok
zstd (long) (v1.4.9) (level 10)      13    10    14  Ok
zstd (long) (v1.4.9) (level 11)      13    10     8  Ok
zstd (long) (v1.4.9) (level 12)      13     9     9  Ok
zstd (long) (v1.4.9) (level 13)      13    11    10  Ok
zstd (long) (v1.4.9) (level 14)      13    11     9  Ok
zstd (long) (v1.4.9) (level 15)      13     9    10  Ok
zstd (long) (v1.4.9) (level 16)      13     9    11  Ok
zstd (long) (v1.4.9) (level 17)      13    10    10  Ok
zstd (long) (v1.4.9) (level 18)      13    11    12  Ok
zstd (long) (v1.4.9) (level 19)      13     9    10  Ok
zstd (ultra) (v1.4.9) (level 1)      13     9     9  Ok
zstd (ultra) (v1.4.9) (level 2)      13     9    12  Ok
zstd (ultra) (v1.4.9) (level 3)      13    11    11  Ok
zstd (ultra) (v1.4.9) (level 4)      13     9     9  Ok
zstd (ultra) (v1.4.9) (level 5)      13    10    13  Ok
zstd (ultra) (v1.4.9) (level 6)      13    11    11  Ok
zstd (ultra) (v1.4.9) (level 7)      13     8    10  Ok
zstd (ultra) (v1.4.9) (level 8)      13    10    10  Ok
zstd (ultra) (v1.4.9) (level 9)      13    12    11  Ok
zstd (ultra) (v1.4.9) (level 10)     13    12     8  Ok
zstd (ultra) (v1.4.9) (level 11)     13    12    11  Ok
zstd (ultra) (v1.4.9) (level 12)     13    11     9  Ok
zstd (ultra) (v1.4.9) (level 13)     13    12     9  Ok
zstd (ultra) (v1.4.9) (level 14)     13    11    10  Ok
zstd (ultra) (v1.4.9) (level 15)     13    13    11  Ok
zstd (ultra) (v1.4.9) (level 16)     13    16    14  Ok
zstd (ultra) (v1.4.9) (level 17)     13    12    11  Ok
zstd (ultra) (v1.4.9) (level 18)     13    16    14  Ok
zstd (ultra) (v1.4.9) (level 19)     13    10    12  Ok
zstd (ultra) (v1.4.9) (level 20)     13    11    11  Ok
zstd (ultra) (v1.4.9) (level 21)     13    13    11  Ok
zstd (ultra) (v1.4.9) (level 22)     13    13    16  Ok
zstd (fast) (v1.4.9) (level 1)       13    13    12  Ok
zstd (fast) (v1.4.9) (level 2)       13    11    13  Ok
zstd (fast) (v1.4.9) (level 3)       13    10    12  Ok
zstd (fast) (v1.4.9) (level 4)       13    15    13  Ok
zstd (fast) (v1.4.9) (level 5)       13    11    11  Ok
zstd (fast) (v1.4.9) (level 6)       13    12    16  Ok
zstd (fast) (v1.4.9) (level 7)       13    11    12  Ok
zstd (fast) (v1.4.9) (level 8)       13    10    12  Ok
zstd (fast) (v1.4.9) (level 9)       13    15    15  Ok
zstd (fast) (v1.4.9) (level 10)      13    11    13  Ok
zstd (fast) (v1.4.9) (level 11)      13    12    11  Ok
zstd (fast) (v1.4.9) (level 12)      13    13    14  Ok
zstd (fast) (v1.4.9) (level 13)      13    10    13  Ok
zstd (fast) (v1.4.9) (level 14)      13    10    11  Ok
zstd (fast) (v1.4.9) (level 15)      13    12    11  Ok
zstd (fast) (v1.4.9) (level 16)      13    13    11  Ok
zstd (fast) (v1.4.9) (level 17)      13    13    14  Ok
zstd (fast) (v1.4.9) (level 18)      13    12    13  Ok
zstd (fast) (v1.4.9) (level 19)      13    13    12  Ok
zstd (fast) (v1.4.9) (level 50)      13    14    13  Ok
zstd (fast) (v1.4.9) (level 100)     13    11    12  Ok
zstd (fast) (v1.4.9) (level 1000)    13    13    13  Ok

## Results for examples/random.bin:

Tool                                    CS    CT    DT  Result
---------------------------------  -------  ----  ----  --------
cat (v8.32) (level 0)              1048576    13    15  Ok
brotli (v1.0.9) (level 0)          1048584    17    16  Ok
brotli (v1.0.9) (level 1)          1048584    23    17  Ok
brotli (v1.0.9) (level 2)          1048581    25    24  Ok
brotli (v1.0.9) (level 3)          1048581    43    26  Ok
brotli (v1.0.9) (level 4)          1048581    41    15  Ok
brotli (v1.0.9) (level 5)          1048581    74    15  Ok
